"‹¯¨""Datasheets""",Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Resistance (Ohms),Tolerance,Power (Watts),Composition,Features,Temperature Coefficient,Operating Temperature,Package / Case,Supplier Device Package,Size / Dimension,Height,Number of Terminations,Stock
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-10.0KCRCT-ND,RC0805FR-0710KL,Yageo,RES 10K OHM 1/8W 1% 0805 SMD,4252552,0,0.1,0,1,Cut Tape (CT),RC0805,10k,¶ñ1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-100KCRCT-ND,RC0805FR-07100KL,Yageo,RES 100K OHM 1/8W 1% 0805 SMD,4100031,0,0.1,0,1,Cut Tape (CT),RC0805,100k,¶ñ1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-100CRCT-ND,RC0805FR-07100RL,Yageo,RES 100 OHM 1/8W 1% 0805 SMD,3207399,0,0.1,0,1,Cut Tape (CT),RC0805,100,¶ñ1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-4.70KCRCT-ND,RC0805FR-074K7L,Yageo,RES 4.7K OHM 1/8W 1% 0805 SMD,1362668,0,0.1,0,1,Cut Tape (CT),RC0805,4.7k,¶ñ1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-1.00MCRCT-ND,RC0805FR-071ML,Yageo,RES 1M OHM 1/8W 1% 0805 SMD,1182334,0,0.1,0,1,Cut Tape (CT),RC0805,1M,¶ñ1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,
http://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC0805%20Pb%20Free.pdf,http://media.digikey.com/Renders/Yageo%20Renders/CRSM%20PT0805.jpg,311-2.00KCRCT-ND,RC0805FR-072KL,Yageo,RES 2K OHM 1/8W 1% 0805 SMD,450978,0,0.1,0,1,Cut Tape (CT),RC0805,2k,¶ñ1%,"0.125W, 1/8W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0805 (2012 Metric),805,"0.079"" L x 0.049"" W (2.00mm x 1.25mm)","0.024"" (0.60mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-22KGRCT-ND,RC0603JR-0722KL,Yageo,RES 22K OHM 1/10W 5% 0603 SMD,1266657,0,0.1,0,1,Cut Tape (CT),RC0603,22k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,onhand
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-390GRCT-ND,RC0603JR-07390RL,Yageo,RES 390 OHM 1/10W 5% 0603 SMD,1044227,0,0.1,0,1,Cut Tape (CT),RC0603,390,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-2.2KGRCT-ND,RC0603JR-072K2L,Yageo,RES 2.2K OHM 1/10W 5% 0603 SMD,905092,0,0.1,0,1,Cut Tape (CT),RC0603,2.2k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-47KGRCT-ND,RC0603JR-0747KL,Yageo,RES 47K OHM 1/10W 5% 0603 SMD,831515,0,0.1,0,1,Cut Tape (CT),RC0603,47k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-330GRCT-ND,RC0603JR-07330RL,Yageo,RES 330 OHM 1/10W 5% 0603 SMD,730853,0,0.1,0,1,Cut Tape (CT),RC0603,330,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,onhand
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-470KGRCT-ND,RC0603JR-07470KL,Yageo,RES 470K OHM 1/10W 5% 0603 SMD,719507,0,0.1,0,1,Cut Tape (CT),RC0603,470k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-220GRCT-ND,RC0603JR-07220RL,Yageo,RES 220 OHM 1/10W 5% 0603 SMD,612772,0,0.1,0,1,Cut Tape (CT),RC0603,220,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-1.0MGRCT-ND,RC0603JR-071ML,Yageo,RES 1M OHM 1/10W 5% 0603 SMD,570998,0,0.1,0,1,Cut Tape (CT),RC0603,1M,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-33GRCT-ND,RC0603JR-0733RL,Yageo,RES 33 OHM 1/10W 5% 0603 SMD,574001,0,0.1,0,1,Cut Tape (CT),RC0603,33,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-470GRCT-ND,RC0603JR-07470RL,Yageo,RES 470 OHM 1/10W 5% 0603 SMD,533570,0,0.1,0,1,Cut Tape (CT),RC0603,470,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-47GRCT-ND,RC0603JR-0747RL,Yageo,RES 47 OHM 1/10W 5% 0603 SMD,512359,0,0.1,0,1,Cut Tape (CT),RC0603,47,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-150GRCT-ND,RC0603JR-07150RL,Yageo,RES 150 OHM 1/10W 5% 0603 SMD,398563,0,0.1,0,1,Cut Tape (CT),RC0603,150,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-510GRCT-ND,RC0603JR-07510RL,Yageo,RES 510 OHM 1/10W 5% 0603 SMD,357675,0,0.1,0,1,Cut Tape (CT),RC0603,510,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-22GRCT-ND,RC0603JR-0722RL,Yageo,RES 22 OHM 1/10W 5% 0603 SMD,240988,0,0.1,0,1,Cut Tape (CT),RC0603,22,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-1.5KGRCT-ND,RC0603JR-071K5L,Yageo,RES 1.5K OHM 1/10W 5% 0603 SMD,301323,0,0.1,0,1,Cut Tape (CT),RC0603,1.5k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
http://www.yageo.com/documents/recent/PYu-RC0603_51_RoHS_L_4.pdf,http://media.digikey.com/Renders/Yageo%20Renders/RC0603FR-0710RL.jpg,311-220KGRCT-ND,RC0603JR-07220KL,Yageo,RES 220K OHM 1/10W 5% 0603 SMD,295084,0,0.1,0,1,Cut Tape (CT),RC0603,220k,¶ñ5%,"0.1W, 1/10W",Thick Film,Moisture Resistant,¶ñ100ppm/¶øC,-55¶øC ~ 155¶øC,0603 (1608 Metric),603,"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.022"" (0.55mm)",2,
